name,street,lat,lng,fb_id,image_url,phone,url,description,tags,listed
Gates Center for Computer Science,,40.44348513,-79.94454861,,,,,,,0
Hillman Center for Future-Generation Technologies,,40.44390972,-79.94441986,,,,,,,0
Hamburg Hall,,40.444367,-79.945579,,,,,,,0
Hamershchlag Hall,,40.44239,-79.946769,,,,,,,0
Hunt Library,,40.44099,-79.943836,,,,,,,0
Margaret Morrison Carnegie Hall,,40.442175,-79.941611,,,,,,,0
Mellon Institute,,40.446505,-79.951174,,,,,,,0
Newell-Simon Hall,,40.44343,-79.945589,,,,,,,0
Pittsburgh Technology Center,,40.432755,-79.964705,,,,,,,0
Rand Building,,40.446588,-79.949261,,,,,,,0
Roberts Engineering Hall,,40.44250531,-79.94720936,,,,,,,0
Scaife Hall,,40.441806,-79.947294,,,,,,,0
Skibo Gymnasium,,40.44116619,-79.94120121,,,,,,,0
Smith Hall,,40.4440077,-79.94553566,,,,,,,0
Software Engineering Institute,,40.446697,-79.949735,,,,,,,0
Solar Decathlon House,,40.442219,-79.94054,,,,,,,0
University Center,,40.44371375,-79.94223118,,,,,,,0
Warner Hall,,40.44420366,-79.94334698,,,,,,,0
Wean Hall,,40.44266861,-79.94575024,,,,,,,0
Whitfield Hall,,40.44841669,-79.95021343,,,,,,,0
300 South Craig,,40.44564069,-79.94892597,,,,,,,0
311 South Craig,,40.44551005,-79.94832516,,,,,,,0
407 South Craig,,40.444987,-79.948626,,,,,,,0
4516 Henry (UTDC),,40.44629388,-79.94961262,,,,,,,0
4609 Henry,,40.44642452,-79.94875431,,,,,,,0
4615 Forbes,,40.44472622,-79.94785309,,,,,,,0
4616 Henry (INI),,40.44622856,-79.94811058,,,,,,,0
Project Olympus,,40.4463592,-79.947896,,,,,,,0
Boss House,,40.44159079,-79.93931293,,,,,,,0
Doherty Apartments,,40.44446494,-79.93896961,,,,,,,0
Donner House,,40.441952,-79.94019,,,,,,,0
Fairfax Apartments,,40.446693,-79.948045,,,,,,,0
Fraternity Quadrangle,,40.445223,-79.942223,,,,,,,0
Hamerschlag House,,40.441307,-79.938901,,,,,,,0
Henderson House,,40.44100288,-79.93927002,,,,,,,0
London Terrace Apartments,,40.44801,-79.949982,,,,,,,0
Margaret Morrison Sorority Houses,,40.44198273,-79.93862629,,,,,,,0
McGill House,,40.44162345,-79.93896961,,,,,,,0
Mudge House,,40.4469144,-79.94274616,,,,,,,0
Roselawn Houses,,40.44195007,-79.9383688,,,,,,,0
Shady Oak Apartments,,40.448831,-79.94631,,,,,,,0
Shirley Apartments,,40.44822074,-79.95201588,,,,,,,0
Spirit House,,40.442176,-79.938026,,,,,,,0
Stever House,,40.44629388,-79.94266033,,,,,,,0
Tech House,,40.4419174,-79.93789673,,,,,,,0
Webster Hall,,40.446802,-79.95082,,,,,,,0
Welch House,,40.441142,-79.939491,,,,,,,0
West Wing,,40.44266861,-79.94081497,,,,,,,0
Woodlawn Apartments,,40.44247264,-79.93768215,,,,,,,0
Allen Hall,,40.444567,-79.958416,,,,,,,0
Alumni Hall,,40.4455753728,-79.9539899826,,,,,,,0
Amos Hall,,40.44351779,-79.9557065964,,,,,,,0
Barco Law Building,,40.441927,-79.955865,,,,,,,0
Bellefield Hall,,40.445465,-79.950834,,,,,,,0
Bellefield Towers,,40.4471430126,40.4471430126,,,,,,,0
Benedum Hall,,40.4437790739,-79.9585390091,,,,,,,0
Biomedical Science Tower,,40.4417867589,-79.9617576599,,,,,,,0
Biomedical Science Tower 3,,40.4409048958,-79.9600839615,,,,,,,0
Bruce Hall,,40.443295,-79.954856,,,,,,,0
Bouquet Gardens,,40.440862,-79.955351,,,,,,,0
Cathedral of Learning,,40.444245,-79.953107,,,,,,,0
Chevron Science Center,,40.445903,-79.957653,,,,,,,0
Clapp Hall,,40.4462285605,-79.9529600143,,,,,,,0
Cost Sports Center,,40.446215,-79.96482,,,,,,,0
Craig Hall,,40.44615,-79.949217,,,,,,,0
Crawford Hall,,40.446983,-79.954249,,,,,,,0
David Lawrence Hall,,40.44225,-79.954979,,,,,,,0
Eberly Hall,,40.4458366486,-79.9584102631,,,,,,,0
Fraternity Housing Complex,,40.445317,-79.960406,,,,,,,0
Forbes Craig Apartments,,40.4446282393,-79.9489688873,,,,,,,0
Forbes Pavilion,,40.440537,-79.95892,,,,,,,0
Gardner Steel Conference Center,,40.4444649391,-79.9576807022,,,,,,,0
Hillman Library,,40.442603,-79.954156,,,,,,,0
Holland Hall,,40.4429952193,-79.9563074112,,,,,,,0
Information Sciences Building,,40.447402,-79.952714,,,,,,,0
Langley Hall,,40.447402,-79.952714,,,,,,,0
Learning Research and Development Center,,40.444492,-79.958958,,,,,,,0
Litchfield Towers,,40.442703,-79.956648,,,,,,,0
Loeffler Building,,40.4408069103,-79.9584102631,,,,,,,0
Log Cabin,,40.443941,-79.95176,,,,,,,0
Lothrop Hall,,40.44174,-79.960057,,,,,,,0
McCormick Hall,,40.443244,-79.955402,,,,,,,0
Mervis Hall,,40.440793,-79.953282,,,,,,,0
Music Building,,40.4466857881,-79.9523162842,,,,,,,0
Old Engineering Hall,,40.445006,-79.958114,,,,,,,0
Oxford Building,,40.4400883455,-79.9596118927,,,,,,,0
Panther Hall,,40.445266,-79.96163,,,,,,,0
Petersen Sports Complex,,40.444856859,-79.9670791626,,,,,,,0
Posvar Hall,,40.441556,-79.954044,,,,,,,0
Ruskin Hall,,40.4469470596,-79.952917099,,,,,,,0
Salk Hall,,40.4428319151,-79.9627876282,,,,,,,0
Sennott Square,,40.44153,-79.956335,,,,,,,0
Space Research Coordination Center,,40.445456,-79.957216,,,,,,,0
Sutherland Hall,,40.446046,-79.962898,,,,,,,0
Thaw Hall,,40.445203,-79.957545,,,,,,,0
Thomas Detre Hall of the WPIC,,40.443624,-79.959831,,,,,,,0
Trees Hall,,40.443253,-79.965189,,,,,,,0
University Place Office Building,,40.444098,40.444098,,,,,,,0
Van de Graaff Building,,40.444674,-79.958738,,,,,,,0
Victoria Building,,40.4412641747,-79.9608135223,,,,,,,0
